,links
55,https://www.straitstimes.com/singapore/courts-crime/woman-admits-being-part-of-all-female-group-that-beat-up-girl-accused-of
56,https://www.straitstimes.com/singapore/courts-crime/man-nabbed-over-suspected-theft-from-bedok-clinics-18-gallons-of-cough-syrup
57,https://www.straitstimes.com/singapore/courts-crime/2kg-of-heroin-among-183000-worth-of-drugs-seized-in-cnb-raid
58,https://www.straitstimes.com/singapore/courts-crime/employment-agency-fined-78000-for-offences-including-posting-insensitive
59,https://www.straitstimes.com/singapore/courts-crime/jail-for-ex-insurance-agent-who-cheated-clients-of-more-than-190000
60,https://www.straitstimes.com/singapore/courts-crime/5-new-psychoactive-substances-to-be-listed-as-class-a-controlled-drugs-from
61,https://www.straitstimes.com/singapore/courts-crime/reformative-training-for-youth-who-bashed-and-robbed-woman
62,https://www.straitstimes.com/singapore/courts-crime/lawyer-suspended-four-years-for-failure-to-supervise-clerk-who-turned-out-to
63,https://www.straitstimes.com/singapore/courts-crime/high-court-dismisses-mans-bid-to-file-civil-suit-against-police-for-allegedly
64,https://www.straitstimes.com/singapore/courts-crime/adjunct-teacher-jailed-for-assaulting-boy-10-whom-he-accused-of-bullying-his
65,https://www.straitstimes.com/singapore/courts-crime/third-man-jailed-for-accepting-bribes-in-exchange-for-under-reporting-weight
66,https://www.straitstimes.com/singapore/courts-crime/paralegal-who-fractured-maids-fingers-jailed-for-10-months
67,https://www.straitstimes.com/singapore/courts-crime/5000-fine-each-for-activist-jolovan-wham-and-sdps-john-tan-for-contempt-of
68,https://www.straitstimes.com/singapore/courts-crime/12-investigated-over-38000-lost-to-scams-and-commercial-crime-related
69,https://www.straitstimes.com/singapore/courts-crime/series-of-china-official-scams-where-victims-transfer-money-using-bitcoin
70,https://www.straitstimes.com/singapore/courts-crime/teenager-arrested-for-criminal-intimidation-suspected-drug-offence-after
71,https://www.straitstimes.com/singapore/courts-crime/104-drug-offenders-nabbed-in-4-day-cnb-operation
72,https://www.straitstimes.com/singapore/courts-crime/owner-of-three-businesses-ordered-to-pay-more-than-400000-for-tax-offences
73,https://www.straitstimes.com/singapore/courts-crime/art-teacher-who-molested-student-gets-2-strokes-of-the-cane-after-prosecution
74,https://www.straitstimes.com/singapore/courts-crime/two-airport-check-in-workers-jailed-for-accepting-bribes-to-waive-excess
75,https://www.straitstimes.com/singapore/courts-crime/job-trial-family-programmes-introduced-to-help-ex-offenders-reintegrate-into
76,https://www.straitstimes.com/singapore/courts-crime/engineer-who-drove-against-traffic-given-mandatory-treatment-order-after
77,https://www.straitstimes.com/singapore/courts-crime/woman-remitted-to-china-nearly-400k-in-criminal-proceeds-linked-to
78,https://www.straitstimes.com/singapore/courts-crime/man-arrested-for-series-of-phone-scams-involving-48-victims
79,https://www.straitstimes.com/singapore/courts-crime/man-arrested-for-suspected-outrage-of-modesty-on-board-mrt-train
80,https://www.straitstimes.com/singapore/courts-crime/jail-for-two-men-over-ruse-involving-work-passes-for-foreigners
81,https://www.straitstimes.com/singapore/courts-crime/metro-family-scion-jailed-26-months-for-cannabis-consumption-and-possession
82,https://www.straitstimes.com/singapore/courts-crime/singaporean-man-pleads-guilty-to-smuggling-23-puppies-from-malaysia
83,https://www.straitstimes.com/singapore/courts-crime/former-company-director-charged-with-causing-policewomans-death-by-negligent
84,https://www.straitstimes.com/singapore/courts-crime/16-men-nabbed-over-contraband-cigarettes-more-than-500000-in-duties-and-taxes
85,https://www.straitstimes.com/singapore/courts-crime/managers-of-now-closed-private-school-failed-to-refund-more-than-170000-to
86,https://www.straitstimes.com/singapore/courts-crime/man-47-charged-with-assaulting-security-supervisor-at-roxy-square
87,https://www.straitstimes.com/singapore/courts-crime/27-months-jail-for-ex-mosque-leader-who-misappropriated-more-than-370k
